Sample_ID,Biosensor_Type,Pathogen_ID,Pathogen_Class,Microbial_Signature,Signal_Quality,Normalized_Data,Classification_Label
sample_0013,Optical,pathogen_0013,Bacteria,"[0.3575957424880182, 0.4833065674331185, 0.039297512567768644]",1,"[0.739894233979147, 1.0, 0.0813097011623099]",L. monocytogenes
sample_0014,Mass-based,pathogen_0014,Bacteria,"[0.5141690471370555, 0.3786089097893969, 0.6891584142032396]",1,"[0.7460825211450178, 0.549378636299638, 1.0]",E. coli
sample_0015,Optical,pathogen_0015,Fungi,"[0.4828554249385112, 0.47084842763588103, 0.43017889439903284]",1,"[1.0, 0.9751333490678723, 0.8909062054212472]",Penicillium
sample_0016,Electrochemical,pathogen_0016,Bacteria,"[0.5441368769020405, 0.6297836283987033, 0.4487111279110314]",1,"[0.8640060686962768, 1.0, 0.7124845862569191]",Salmonella
sample_0017,Optical,pathogen_0017,Fungi,"[0.5248271518581719, 0.37634431199238483, 0.5254385791332974]",1,"[0.9988363487200843, 0.7162479630124586, 1.0]",Candida
sample_0018,Electrochemical,pathogen_0018,Fungi,"[0.5588272460011163, 0.6446763703476356, 0.4973477198939714]",1,"[0.8668337660643185, 1.0, 0.7714688218303727]",Aspergillus
sample_0019,Optical,pathogen_0019,Fungi,"[0.49592224159417, 0.593236554880322, 0.4259631498727835]",1,"[0.8359603559733706, 1.0, 0.7180325392434999]",Penicillium
sample_0020,Mass-based,pathogen_0020,Virus,"[0.5612901037322189, 0.6127464031766633, 0.5554433458866436]",1,"[0.9160234981752984, 1.0, 0.9064816096953923]",Hepatitis
sample_0021,Mass-based,pathogen_0021,Bacteria,"[0.6465628914725422, 0.5542180501632391, 0.6943073911751441]",1,"[0.9312343490657757, 0.7982315285816014, 1.0]",L. monocytogenes
sample_0022,Optical,pathogen_0022,Fungi,"[0.2273644614040633, 0.5428868386175671, 0.5020279889701188]",1,"[0.41880636116181225, 1.0, 0.9247378150638293]",Penicillium
sample_0023,Mass-based,pathogen_0023,Bacteria,"[0.6328555818636672, 0.7652600100273612, 0.6565317236841716]",1,"[0.8269811221953699, 1.0, 0.8579198116738098]",E. coli
sample_0024,Mass-based,pathogen_0024,Virus,"[0.7151061523171006, 0.29467272418686424, 0.3783161655516798]",1,"[1.0, 0.4120685065176129, 0.5290349751933368]",Influenza
sample_0025,Mass-based,pathogen_0025,Bacteria,"[0.34233545156534245, 0.5574044306583031, 0.5994618564357911]",1,"[0.5710712831684734, 0.9298413646740629, 1.0]",E. coli
sample_0026,Optical,pathogen_0026,Bacteria,"[0.6777757763858039, 0.6122597504763845, 0.911931001358476]",1,"[0.7432314236232147, 0.6713882405185476, 1.0]",E. coli
sample_0027,Mass-based,pathogen_0027,Bacteria,"[0.29241951618976736, 0.6325074468575237, 0.5242050745949441]",1,"[0.46231790256793087, 1.0, 0.8287729689181424]",E. coli
sample_0028,Mass-based,pathogen_0028,Virus,"[0.7056270946278538, 0.6222084266638978, 0.7424363857801148]",1,"[0.950420949380621, 0.8380629486661169, 1.0]",Influenza
sample_0029,Optical,pathogen_0029,Fungi,"[0.32072139663765153, 0.786193408222583, 0.7680069051580174]",1,"[0.40794210849812995, 1.0, 0.9768676474842476]",Aspergillus
sample_0030,Mass-based,pathogen_0030,Fungi,"[0.6699780851143686, 0.6291093843279983, 0.506116711487595]",1,"[1.0, 0.9389999438871292, 0.7554227858082825]",Candida
sample_0031,Mass-based,pathogen_0031,Bacteria,"[0.4567975189252055, 0.7209394889566042, 0.6602568643838632]",0,"[0.6336142296579091, 1.0, 0.9158284079284307]",L. monocytogenes
sample_0032,Mass-based,pathogen_0032,Bacteria,"[0.5609279365204733, 0.7988129132778556, 0.7807618295556035]",1,"[0.7022018888237008, 1.0, 0.9774026140261288]",E. coli
sample_0033,Electrochemical,pathogen_0033,Virus,"[0.5285120243550984, 0.584669174478955, 0.3514699382969618]",1,"[0.9039505543046584, 1.0, 0.6011432680886324]",Hepatitis
sample_0034,Mass-based,pathogen_0034,Virus,"[0.32962947401296977, 0.38266861885949544, 0.6447318843980763]",1,"[0.5112659727085048, 0.5935314013774208, 1.0]",HIV
sample_0035,Electrochemical,pathogen_0035,Bacteria,"[0.5354181164627523, 0.5757858884881873, 0.547594213885316]",1,"[0.929891001442521, 1.0, 0.9510379202295269]",L. monocytogenes
sample_0036,Mass-based,pathogen_0036,Fungi,"[0.2800186687513076, 0.5063103643315384, 0.8241163890897041]",0,"[0.33978048787575793, 0.6143675469077793, 1.0]",Candida
sample_0037,Electrochemical,pathogen_0037,Fungi,"[0.48769237974757973, 0.5393726310324104, 0.46694694973105744]",0,"[0.9041845130593487, 1.0, 0.865722364958112]",Candida
sample_0038,Optical,pathogen_0038,Fungi,"[0.34625880706198964, 0.6044444918196619, 0.3613766519021012]",0,"[0.5728545991371151, 1.0, 0.5978657375372679]",Penicillium
sample_0039,Optical,pathogen_0039,Fungi,"[0.18076961911315417, 0.3324767018945628, 0.6360872300426011]",1,"[0.2841899830327475, 0.5226904207341115, 1.0]",Penicillium
sample_0040,Optical,pathogen_0040,Fungi,"[0.44516712284496174, 0.260546856512614, 0.408230564244617]",1,"[1.0, 0.5852787484563513, 0.9170276583672855]",Candida
sample_0041,Electrochemical,pathogen_0041,Bacteria,"[0.594024427697829, 0.46461475295562854, 0.37866083005821405]",1,"[1.0, 0.7821475536894432, 0.6374499303433241]",L. monocytogenes
sample_0042,Electrochemical,pathogen_0042,Bacteria,"[0.4285564172638203, 0.43540672734649016, 0.6039158806509094]",1,"[0.7096293225505445, 0.7209724753010344, 1.0]",Salmonella
sample_0043,Optical,pathogen_0043,Bacteria,"[0.36682143086876295, 0.40250525616464844, 0.471290464893042]",0,"[0.7783340809833953, 0.854049224730222, 1.0]",E. coli
sample_0044,Electrochemical,pathogen_0044,Virus,"[0.45445286642757365, 0.4243118075900254, 0.5605037277187763]",1,"[0.810793655694629, 0.75701870764884, 1.0]",Influenza
sample_0045,Electrochemical,pathogen_0045,Bacteria,"[0.4195599892176291, 0.5517480988704979, 0.5124321649707752]",1,"[0.7604194560462002, 1.0, 0.928742964442999]",Salmonella
sample_0046,Mass-based,pathogen_0046,Fungi,"[1.0079709059321245, 0.5933499992723518, 0.7264451503909994]",1,"[1.0, 0.5886578628215954, 0.7207005143855981]",Aspergillus
sample_0047,Mass-based,pathogen_0047,Virus,"[0.7214602266529013, 0.760557641460754, 0.5828714712143929]",1,"[0.9485937519045095, 1.0, 0.7663738281491844]",Influenza
sample_0048,Mass-based,pathogen_0048,Fungi,"[0.5996166360454258, 0.7162242445007042, 0.42907236560330203]",1,"[0.8371912018468907, 1.0, 0.5990754556241221]",Candida
sample_0049,Mass-based,pathogen_0049,Bacteria,"[0.9008419442616695, 0.5021211543671127, 0.8277662167294926]",1,"[1.0, 0.5573909580538586, 0.9188806338363054]",E. coli
sample_0050,Electrochemical,pathogen_0050,Bacteria,"[0.3472755655875006, 0.29631532101025865, 0.4423730645792731]",1,"[0.78502873116333, 0.6698312911344968, 1.0]",L. monocytogenes
sample_0051,Mass-based,pathogen_0051,Virus,"[0.7095448043657117, 0.7791664525110868, 0.47367511780747373]",1,"[0.9106459885163183, 1.0, 0.6079254519761729]",Influenza
sample_0052,Mass-based,pathogen_0052,Virus,"[0.5852594925427529, 0.3860844236683082, 0.4265999804048052]",0,"[1.0, 0.6596807545844375, 0.7289074091756697]",Influenza
sample_0053,Optical,pathogen_0053,Virus,"[0.3101230204839939, 0.6462339391011092, 0.08036038313869664]",1,"[0.479892809274866, 1.0, 0.12435184578896519]",Hepatitis
sample_0054,Optical,pathogen_0054,Virus,"[0.5169230558245472, 0.17706918944230138, 0.6517111606272239]",0,"[0.7931781547626818, 0.27169887542187454, 1.0]",Hepatitis
sample_0055,Optical,pathogen_0055,Fungi,"[0.4136955105008113, 0.09668036157151788, 0.550351680111971]",1,"[0.7516930091258075, 0.17567014886162957, 1.0]",Aspergillus
sample_0056,Optical,pathogen_0056,Bacteria,"[0.7334156662326484, 0.22543425047398122, 0.5728124195990383]",1,"[1.0, 0.30737583181441164, 0.7810201581068152]",Salmonella
sample_0057,Electrochemical,pathogen_0057,Fungi,"[0.4645199558596613, 0.5269357408397717, 0.5713126433869528]",1,"[0.8130748745657284, 0.9223246622303011, 1.0]",Penicillium
sample_0058,Optical,pathogen_0058,Bacteria,"[0.08998209572306926, 0.42322318044016677, 0.48744664064333865]",1,"[0.18459886317876695, 0.8682451475746988, 1.0]",Salmonella
sample_0059,Electrochemical,pathogen_0059,Bacteria,"[0.4555591981691582, 0.5961573889292218, 0.43768689901277213]",0,"[0.7641592750991535, 1.0, 0.7341801127365313]",E. coli
sample_0060,Optical,pathogen_0060,Bacteria,"[0.4561558915490613, -0.053322451425264206, 0.23762391313904652]",1,"[1.0, -0.1168952378192164, 0.5209269847027487]",L. monocytogenes
sample_0061,Electrochemical,pathogen_0061,Fungi,"[0.4765173158093061, 0.35667230573020914, 0.5099861080451029]",1,"[0.9343731295660375, 0.6993765126219188, 1.0]",Aspergillus
sample_0062,Mass-based,pathogen_0062,Fungi,"[0.8755226988162637, 0.6590135231433749, 0.5916766930746954]",1,"[1.0, 0.752708666530729, 0.6757982333007041]",Candida
sample_0063,Mass-based,pathogen_0063,Fungi,"[0.6064504506271328, 0.552942781309497, 0.5259827750589428]",1,"[1.0, 0.9117690995821617, 0.8673136849268096]",Candida
sample_0064,Electrochemical,pathogen_0064,Bacteria,"[0.5212243906305076, 0.45711493947489906, 0.48676563341780615]",0,"[1.0, 0.8770022042175396, 0.9338888244062833]",L. monocytogenes
sample_0065,Optical,pathogen_0065,Bacteria,"[0.5415836417838191, 0.3740002741148805, 0.8010185453535413]",1,"[0.6761187302408626, 0.4669058866169072, 1.0]",Salmonella
sample_0066,Electrochemical,pathogen_0066,Fungi,"[0.47442611938464757, 0.4406838629571716, 0.4567103786715694]",0,"[1.0, 0.9288777429218248, 0.9626585889999979]",Aspergillus
sample_0067,Mass-based,pathogen_0067,Fungi,"[0.5827616666640809, 0.7060097845819769, 0.5862537074374086]",1,"[0.825430014414219, 1.0, 0.8303761792544064]",Penicillium
sample_0068,Electrochemical,pathogen_0068,Fungi,"[0.4973778847861498, 0.5358060824665082, 0.6939283573657121]",1,"[0.7167568229583434, 0.7721345824524781, 1.0]",Candida
sample_0069,Electrochemical,pathogen_0069,Bacteria,"[0.42767815652094476, 0.3836527915329529, 0.5170091441374531]",1,"[0.8272158459294897, 0.742061907189313, 1.0]",E. coli
sample_0070,Optical,pathogen_0070,Fungi,"[0.28967219628275054, 0.3892133090293964, 0.7280937436239676]",1,"[0.3978501378695476, 0.5345648310232014, 1.0]",Aspergillus
sample_0071,Electrochemical,pathogen_0071,Virus,"[0.44360678596241204, 0.3645104568404647, 0.5243235818461758]",0,"[0.8460553774835858, 0.695201340281131, 1.0]",HIV
sample_0072,Optical,pathogen_0072,Bacteria,"[0.455105856148234, 0.37466521556909727, 0.2922667817165716]",0,"[1.0, 0.8232485047326304, 0.642195167933362]",Salmonella
sample_0073,Optical,pathogen_0073,Virus,"[0.3837182076557733, 0.27243417961526395, 0.336096394353674]",1,"[1.0, 0.709985020725573, 0.8758937878058162]",HIV
sample_0074,Mass-based,pathogen_0074,Bacteria,"[0.39682701469532267, 0.4230954526103076, 0.594304322357959]",1,"[0.6677168577890762, 0.7119171722184959, 1.0]",L. monocytogenes
sample_0075,Electrochemical,pathogen_0075,Fungi,"[0.6033415633183062, 0.420405610242709, 0.663165373659279]",1,"[0.9097905097021712, 0.633937818440299, 1.0]",Aspergillus
sample_0076,Mass-based,pathogen_0076,Bacteria,"[0.47981963223065927, 0.6889569307945075, 0.6052769363404784]",1,"[0.696443581280661, 1.0, 0.8785410368721757]",E. coli
sample_0077,Optical,pathogen_0077,Fungi,"[0.32217245170659037, 0.07109692566973885, 0.25025914257871246]",1,"[1.0, 0.22067971762678334, 0.7767862871361485]",Aspergillus
sample_0078,Electrochemical,pathogen_0078,Bacteria,"[0.5045943727082882, 0.4772985175149625, 0.46924070605711793]",0,"[1.0, 0.9459053515662059, 0.9299364627048494]",L. monocytogenes
sample_0079,Mass-based,pathogen_0079,Fungi,"[0.4287565286326911, 0.6770283706634705, 0.9395803091501569]",1,"[0.45632770765545105, 0.720564664957525, 1.0]",Aspergillus
sample_0080,Electrochemical,pathogen_0080,Bacteria,"[0.5993109321512913, 0.5575107419653006, 0.5028197702780679]",1,"[1.0, 0.930252915567643, 0.8389964929775969]",Salmonella
sample_0081,Electrochemical,pathogen_0081,Bacteria,"[0.4333555113243949, 0.5421029756511014, 0.6101686081273452]",1,"[0.7102225607023551, 0.8884478297152283, 1.0]",E. coli
sample_0082,Mass-based,pathogen_0082,Bacteria,"[0.42251251451195126, 0.6347471236440728, 0.3797971590409872]",0,"[0.6656391163875054, 1.0, 0.5983440411050277]",L. monocytogenes
sample_0083,Optical,pathogen_0083,Fungi,"[0.3594066503917524, 0.41770342915973946, 0.5168410250474063]",1,"[0.6953911028227423, 0.8081855133721756, 1.0]",Candida
sample_0084,Mass-based,pathogen_0084,Bacteria,"[0.5832908207244453, 0.925879606015966, 0.7598905085784251]",1,"[0.6299856017288569, 1.0, 0.82072280633571]",E. coli
sample_0085,Mass-based,pathogen_0085,Bacteria,"[0.6527671125414365, 0.4936998500795758, 0.6009238613468029]",1,"[1.0, 0.7563185102224901, 0.9205792537666445]",Salmonella
sample_0086,Electrochemical,pathogen_0086,Fungi,"[0.4780457658689978, 0.716533372320568, 0.5634033317474958]",1,"[0.667164690907273, 1.0, 0.7862904276500833]",Aspergillus
sample_0087,Electrochemical,pathogen_0087,Bacteria,"[0.4859866617841811, 0.5751244087834169, 0.6751299639174386]",1,"[0.7198416419917814, 0.8518721424335249, 1.0]",E. coli
sample_0088,Electrochemical,pathogen_0088,Virus,"[0.47366623349801396, 0.7552787653418942, 0.43975103051618614]",1,"[0.627140938198624, 1.0, 0.5822367193351753]",Influenza
sample_0089,Optical,pathogen_0089,Virus,"[0.2022256251118313, 0.26492317337368343, 0.27630593080054394]",1,"[0.731890280190226, 0.9588037889962002, 1.0]",HIV
sample_0090,Mass-based,pathogen_0090,Fungi,"[0.8141148689282299, 0.5894097019232917, 0.7036764439649587]",1,"[1.0, 0.723988376111151, 0.8643454023771094]",Penicillium
sample_0091,Mass-based,pathogen_0091,Bacteria,"[0.6118041961284952, 0.4386398718560167, 0.6557285788434919]",1,"[0.9330143841031512, 0.668935114326793, 1.0]",Salmonella
sample_0092,Optical,pathogen_0092,Fungi,"[0.49272678333248976, 0.14524051391568277, 0.07228091733639391]",1,"[1.0, 0.29476886345282177, 0.14669573439367734]",Candida
sample_0093,Electrochemical,pathogen_0093,Bacteria,"[0.4163126350434345, 0.4439963788402007, 0.4309155417637899]",1,"[0.9376487171605292, 1.0, 0.9705384149515355]",E. coli
sample_0094,Optical,pathogen_0094,Fungi,"[0.29311380179887503, 0.016197058511477402, 0.22454885984956718]",1,"[1.0, 0.05525860062567537, 0.766080813907375]",Penicillium
sample_0095,Mass-based,pathogen_0095,Bacteria,"[0.501394253923037, 0.7209992756976431, 0.7016570590685272]",1,"[0.6954157525857222, 1.0, 0.9731730429126988]",E. coli
sample_0096,Mass-based,pathogen_0096,Fungi,"[0.6491410305385786, 0.5340832229679313, 0.33782798211201925]",1,"[1.0, 0.8227537589556059, 0.5204230917767292]",Candida
sample_0097,Mass-based,pathogen_0097,Fungi,"[0.6038488769563857, 0.49049462357810236, 0.7694910332898277]",1,"[0.7847380292070887, 0.6374273413961384, 1.0]",Penicillium
sample_0098,Optical,pathogen_0098,Bacteria,"[0.2938552220443168, 0.33766259110044594, 0.38828410867193475]",1,"[0.756804657933086, 0.8696276349175561, 1.0]",L. monocytogenes
sample_0099,Mass-based,pathogen_0099,Fungi,"[0.7533312077835287, 0.5289375042094062, 0.5288106351311876]",1,"[1.0, 0.7021314114487044, 0.7019630006927079]",Candida
sample_0100,Mass-based,pathogen_0100,Fungi,"[0.555294972280505, 0.5520325029299238, 0.21454092208385206]",1,"[1.0, 0.994124799406732, 0.38635487946661545]",Aspergillus
sample_0101,Optical,pathogen_0101,Fungi,"[0.3731524903826834, 0.3577185184278836, 0.3449843655538114]",1,"[1.0, 0.9586389683773204, 0.9245130997250363]",Aspergillus
sample_0102,Mass-based,pathogen_0102,Bacteria,"[0.7009216343001875, 0.5771867105392725, 0.5970308929157974]",1,"[1.0, 0.8234682485090447, 0.8517798049019896]",E. coli
sample_0103,Mass-based,pathogen_0103,Fungi,"[0.37760233457531134, 0.6019084979650419, 0.40815279644086]",1,"[0.627341756848301, 1.0, 0.6780977471173119]",Penicillium
sample_0104,Mass-based,pathogen_0104,Bacteria,"[0.25776438684183345, 0.524610954662609, 0.667031649505429]",1,"[0.3864350170384763, 0.7864858512359677, 1.0]",E. coli
sample_0105,Mass-based,pathogen_0105,Fungi,"[0.6831768407390355, 0.43338121859296175, 0.678841988504995]",1,"[1.0, 0.6343616948785119, 0.9936548606809458]",Candida
sample_0106,Optical,pathogen_0106,Virus,"[0.26875503094108033, 0.35321998883893846, 0.3616669709441378]",1,"[0.7431008428541062, 0.9766443087596627, 1.0]",HIV
sample_0107,Optical,pathogen_0107,Bacteria,"[0.5436515103460915, 0.38298318620117505, 0.23838602495456207]",0,"[1.0, 0.7044644940972681, 0.43849050433577247]",E. coli
sample_0108,Electrochemical,pathogen_0108,Bacteria,"[0.5725472396659927, 0.4506567424372389, 0.5917724789281518]",0,"[0.9675124478634411, 0.7615371759996193, 1.0]",E. coli
sample_0109,Mass-based,pathogen_0109,Virus,"[0.5612579052927869, 0.5522435232528737, 0.8326096735761036]",1,"[0.6740948647427477, 0.6632682045128757, 1.0]",Influenza
sample_0110,Optical,pathogen_0110,Bacteria,"[0.5436534471090069, 0.5021809146207379, 0.5260091823742049]",1,"[1.0, 0.9237151300910387, 0.9675450145149835]",E. coli
sample_0111,Mass-based,pathogen_0111,Virus,"[0.7378955114464513, 0.6264248652873707, 0.6073035609149813]",1,"[1.0, 0.8489343756264739, 0.8230210802129985]",Hepatitis
sample_0112,Mass-based,pathogen_0112,Virus,"[0.4960614820191719, 0.604584531686123, 0.8956655485899954]",1,"[0.5538467822058115, 0.6750114846304989, 1.0]",HIV
sample_0113,Electrochemical,pathogen_0113,Virus,"[0.6670584204405756, 0.4714865568808396, 0.2597828048961505]",0,"[1.0, 0.7068144894557127, 0.3894453573115386]",Hepatitis
sample_0114,Electrochemical,pathogen_0114,Bacteria,"[0.4984122645429218, 0.46137259131840896, 0.5985504879633199]",1,"[0.8326987857596823, 0.7708164985184719, 1.0]",E. coli
sample_0115,Optical,pathogen_0115,Fungi,"[0.4102748127473514, 0.36636907472985136, 0.19008590038139658]",1,"[1.0, 0.8929845638744163, 0.46331359975161845]",Candida
sample_0116,Electrochemical,pathogen_0116,Virus,"[0.44169234346800673, 0.5656335350341793, 0.4269731451931533]",1,"[0.780880757788374, 1.0, 0.7548582584788802]",Hepatitis
sample_0117,Electrochemical,pathogen_0117,Bacteria,"[0.48138586516166865, 0.3527969243642898, 0.4769038124692371]",1,"[1.0, 0.7328776141896199, 0.9906892723347281]",Salmonella
sample_0118,Optical,pathogen_0118,Bacteria,"[0.22599760970963378, 0.2038222876536402, 0.3879112654754119]",1,"[0.5826013055657412, 0.5254353399709647, 1.0]",Salmonella
sample_0119,Electrochemical,pathogen_0119,Bacteria,"[0.44716238221144544, 0.5245217885862848, 0.5604956210933344]",1,"[0.7977981725159338, 0.9358178170297263, 1.0]",Salmonella
sample_0120,Optical,pathogen_0120,Virus,"[0.31481060248541737, 0.3882027425657055, 0.17990278203499221]",1,"[0.8109437877866973, 1.0, 0.4634248095363279]",HIV
sample_0121,Electrochemical,pathogen_0121,Bacteria,"[0.4181516402832657, 0.47282665113039296, 0.5400941405904346]",1,"[0.7742199162281959, 0.8754522880279643, 1.0]",L. monocytogenes
sample_0122,Optical,pathogen_0122,Virus,"[0.37898667022348226, 0.16630026456661656, 0.2806272404191289]",1,"[1.0, 0.43880241083031235, 0.7404673105089622]",Influenza
sample_0123,Optical,pathogen_0123,Fungi,"[0.3556883086440082, 0.25599045154330136, 0.33415407263897656]",1,"[1.0, 0.7197044303176977, 0.9394575658471129]",Penicillium
sample_0124,Mass-based,pathogen_0124,Fungi,"[0.7588703022601224, 0.6189838580485226, 0.5696755852753815]",1,"[1.0, 0.8156648852972901, 0.7506889959703688]",Aspergillus
sample_0125,Mass-based,pathogen_0125,Bacteria,"[0.3404897624832089, 0.7599258468401611, 0.7357182205946187]",0,"[0.448056562227743, 1.0, 0.9681447520883782]",E. coli
sample_0126,Mass-based,pathogen_0126,Fungi,"[0.6022787434888247, 0.5288213830272688, 0.5525737245262253]",1,"[1.0, 0.8780342802137779, 0.917471736301579]",Candida
sample_0127,Electrochemical,pathogen_0127,Fungi,"[0.5548098445884853, 0.5472262486947153, 0.44449181897068846]",1,"[1.0, 0.9863311800110632, 0.8011606558646736]",Candida
sample_0128,Electrochemical,pathogen_0128,Virus,"[0.4018054014786385, 0.4034927172314571, 0.36459550961274667]",0,"[0.9958182250118516, 1.0, 0.9035987368356945]",Hepatitis
sample_0129,Optical,pathogen_0129,Bacteria,"[0.356056018875267, 0.22188407712415667, 0.263094652548007]",1,"[1.0, 0.6231718194936251, 0.7389136501022721]",L. monocytogenes
sample_0130,Optical,pathogen_0130,Virus,"[0.3378452055813219, 0.6571224041349933, 0.24607596074183707]",1,"[0.5141282711644055, 1.0, 0.3744750737357076]",Hepatitis
sample_0131,Optical,pathogen_0131,Bacteria,"[0.4516756824916593, 0.4206157092464593, 0.29147070930165975]",1,"[1.0, 0.9312339042167196, 0.6453097224401539]",E. coli
sample_0132,Electrochemical,pathogen_0132,Fungi,"[0.44607251784993657, 0.529696976310378, 0.5136767783113246]",1,"[0.8421277405755071, 1.0, 0.969755919486944]",Aspergillus
sample_0133,Mass-based,pathogen_0133,Fungi,"[0.7612687976216245, 0.8087550777860257, 0.5495114865392071]",1,"[0.9412847208398427, 1.0, 0.6794535226208406]",Aspergillus
sample_0134,Electrochemical,pathogen_0134,Virus,"[0.5748068372979694, 0.5073247101167242, 0.3429917973535428]",1,"[1.0, 0.8826003401447646, 0.5967079288163409]",HIV
sample_0135,Optical,pathogen_0135,Fungi,"[0.01927562941860117, 0.2076063513695949, 0.23736865503283824]",1,"[0.08120545408969236, 0.8746156957449756, 1.0]",Penicillium
sample_0136,Electrochemical,pathogen_0136,Bacteria,"[0.631767761284759, 0.48409917249858375, 0.4391976224225201]",1,"[1.0, 0.766261278533939, 0.6951884051971416]",E. coli
sample_0137,Optical,pathogen_0137,Fungi,"[0.21224069581131333, 0.5464908687858412, 0.3533490553989723]",1,"[0.3883700678894348, 1.0, 0.6465781508555136]",Candida
sample_0138,Electrochemical,pathogen_0138,Bacteria,"[0.41496436957660643, 0.5299618675992832, 0.7832019558508592]",1,"[0.5298306094317592, 0.6766605517775302, 1.0]",L. monocytogenes
sample_0139,Electrochemical,pathogen_0139,Fungi,"[0.3979132854194763, 0.619051821821251, 0.4523379478978172]",1,"[0.6427786356379909, 1.0, 0.7306948012317267]",Candida
sample_0140,Optical,pathogen_0140,Virus,"[0.3530543154061864, 0.7015230774073118, 0.3961025046212544]",1,"[0.5032682840755633, 1.0, 0.5646321801488977]",HIV
sample_0141,Electrochemical,pathogen_0141,Bacteria,"[0.5378107096577023, 0.5779458140790932, 0.5675385135462684]",1,"[0.9305555928537302, 1.0, 0.9819926015911925]",Salmonella
sample_0142,Electrochemical,pathogen_0142,Fungi,"[0.4550102973464379, 0.47910059913829106, 0.5387242804105188]",1,"[0.8446069982212624, 0.8893243103377607, 1.0]",Aspergillus
sample_0143,Mass-based,pathogen_0143,Fungi,"[0.7677034191299092, 0.5251002951080745, 0.6196441939498226]",1,"[1.0, 0.6839884804775347, 0.8071400732487394]",Aspergillus
sample_0144,Optical,pathogen_0144,Fungi,"[0.3528770833798176, 0.17906204290329472, 0.2862923383996161]",1,"[1.0, 0.5074346035402988, 0.8113089568116462]",Penicillium
sample_0145,Mass-based,pathogen_0145,Bacteria,"[0.5368581649918123, 0.5680810287707913, 0.6440587723652526]",1,"[0.8335546195889004, 0.8820329031224289, 1.0]",E. coli
sample_0146,Optical,pathogen_0146,Fungi,"[0.4713995203020377, 0.2907740230094057, 0.5155562508358639]",1,"[0.914351284729386, 0.5640005771203006, 1.0]",Aspergillus
sample_0147,Optical,pathogen_0147,Fungi,"[0.22043534442125928, 0.4196729309969678, 0.32794962373287334]",1,"[0.5252550930497158, 1.0, 0.781440973459503]",Candida
sample_0148,Electrochemical,pathogen_0148,Virus,"[0.49619203702715997, 0.4962623485387502, 0.577367467319294]",1,"[0.8594042184797318, 0.8595259979625917, 1.0]",Influenza
sample_0149,Mass-based,pathogen_0149,Fungi,"[0.6902911454231577, 0.7785211028431552, 0.7116030671033272]",1,"[0.8866697934098612, 1.0, 0.9140446732973022]",Aspergillus
sample_0150,Optical,pathogen_0150,Virus,"[0.3144239067584465, 0.4354074834177531, 0.703177437919949]",1,"[0.44714731986927186, 0.6192000197072886, 1.0]",Hepatitis
sample_0151,Mass-based,pathogen_0151,Fungi,"[0.46862645964776306, 0.5922440790670801, 0.7419526206102331]",1,"[0.6316123787828019, 0.7982235827672899, 1.0]",Candida
sample_0152,Mass-based,pathogen_0152,Fungi,"[0.650042180635705, 0.4697944306255557, 0.41386211709981563]",1,"[1.0, 0.7227137632301384, 0.6366696337998891]",Penicillium
